"nombrep","codigogrupop","nombreh","codigogrupoh","nombre_mat","codigo_materia","codenservicio_mat"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","ARQUITECTURA DE COMPUTADORAS","18414","1443"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","ARQUITECTURA DE COMPUTADORES 1","18420","1424"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","ARQUITECTURA DE COMPUTADORES 2","18419","1425"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","ARQUITECTURA DE SISTEMAS","18617","CP28"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","ARQUITECTURA DE SISTEMAS (P. 74)","19225","CP383"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","ASPECTOS AVANZ. DE ARQ.DE COMPUTADORAS","18430","1444"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","ASPECTOS AVANZ. DE REDES DE COMPUTADORAS","18428","1448"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","ASPECTOS BASICOS DE REDES DE COMPUT","37735","1454"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","CODIFICACION DE FUENTES SIN PERDIDA","19784","5813"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","COMPL.ARQUITECTURA DE COMPUTADORAS","37127","1453"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","COMPUTACION CUANTICA","18421","1427"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","COMPUTACION DE ALTA PERFORMANCE","18425","1430"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","COMPUTACION DE ALTA PERFORMANCE","18408","1434"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","COMPUTACION DE ALTA PERFORMANCE","18390","1415"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","COMPUT.DE PR.GRAL.EN UNID.DE PROC.GRAF.","18433","1447"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","COMUNICACION DE DATOS","19229","CP364"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","CREDITOS ASIGNADOS POR REVALIDA","38210","AR6"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","CREDITOS ASIGNADOS POR REVALIDA","36555","AR015"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","CREDITOS ASIGNADOS POR REVALIDA","41058","AR12"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","CREDITOS ASIGNADOS POR REVALIDA","42966","AR20"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","CREDITOS ASIGNADOS POR REVALIDA","21274","AA9"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","CREDITOS ASIGNADOS POR REVALIDA","20135","AR15"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","CREDITOS ASIGNADOS POR REVALIDA","20142","AR30"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","CREDITOS ASIGNADOS POR REVALIDA","21123","AR8"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","CRIPTOGRAFIA","42488","1545"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","CURVAS ELIPTICAS EN CRIPTOGRAFIA","18416","1441"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","DISEÑO LOGICO","19619","1512C"
