cod_materia,codenservicio_mat,nombre_mat
20541,1829,I.A. Y ROBOTICA
19915,5709,IMAGENES MEDICAS:ADQ. INSTRUM. Y GESTION
19918,5707,"IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION"
66001,2418,INGENIERIA DE ONTOLOGIAS
65654,2417,INGENIERIA DE SOFTWARE BASADA EN EVIDENCIAS
47536,1772,INGENIERIA DE SOFTWARE BASADA EN EVID.Y REV.SIST.
42481,1771,INGENIERIA DE SOFTWARE EMPIRICA
47965,1773,INGENIERIA DE SOFTWARE EMPIRICA
67363,INFU1,INGLES PARA FINES UNIVERSITARIOS I
20859,1519,INT. A LA ADMINISTRACION PARA INGENIEROS
18236,1316,INT. A LA COMPUTACION GRAFICA
18515,1131,INT. A LA FISICA MODERNA
20686,1716,INT. A LA INGENIERIA DE SOFTWARE
20632,1736,INT. A LA INTERAC. PERSONA COMPUTADORA
20804,1610,INT. A LA INVESTIGACION DE OPERACIONES
73977,1650,INT. A LA INVESTIGACIÓN DE OPERACIONES
18270,1328,INT. A LA PROGRAMACION FUNCIONAL
18278,1333,INT. A LA PROGRAMACION GENERICA
18271,1329,INT. A LA PROGRAMACION LOGICA
52227,1064,INT. A LAS ECUACIONES DIFERENCIALES
18409,1433,INT. A LAS REDES DE COMPUTADORAS
18401,1406,INT. A LAS REDES DE COMPUTADORES
18436,1450,INT. A LA TEORIA DE LA INFORMACION
18427,1432,INT. A LA TEORIA DE LA INFORMACION
20480,1936,INT. AL MIDDLEWARE
38092,1948,INT. AL MIDDLEWARE
36914,1543,INT. AL NEGOCIO DEL SOFTWARE
20467,1926,INT. A LOS SIST. DE INFOR. GEOGRAFICA
20540,1828,INT. AL PROCESAMIENTO DE LENG. NATURAL
19805,5831,INT. AL RECONOCIMIENTO DE PATRONES
20483,1941,INTEGRACION DE DATOS
64563,1867,INTEGRACION DE DATOS
20667,1749,INTERACCION PERSONA COMPUTADORA
65448,203EU,INTRODUCCIÓN A LAS CIENCIAS BIOLÓGICAS II (TEÓRICO)
3453,A65,INTRODUCCIÓN AL EMPRENDEDURISMO
65435,618EU,INTRODUCCIÓN A LOS SISTEMAS DE GESTIÓN
53481,1779,INVESTIGACION DE OPER.Y GEST. DE RIESGOS
20797,1630,INVESTIGACION DE OPER.Y GEST. DE RIESGOS
61734,1782,INVESTIGACION MEDIANTE ENCUESTAS EN COMPUTACION
72359,O6221,LABORATORIO DE ACCESIBILIDAD A LOS MEDIOS (INV. - EXT.)
22336,2401,LEGISLACION Y RELACIONES INDUSTRIALES
18823,1027,LOGICA
45920,1013,LOGICA MODALIDAD AL REVES
18807,1023,MATEMATICA DISCRETA 1
18822,1026,MATEMATICA DISCRETA 2
24891,CIM11,MATEMÁTICA DISCRETA 2- CIM-CIOCT
57687,MI2,MATEMATICA INICIAL
61481,SRN45,MATEMATICA INICIAL-OPTATIVA
20474,1932,METADATA EN SISTEMAS DE INFORMACION
20801,1613,METAHEURISTICAS Y OPTIMIZACION SOBRE REDES
43665,1635,METAHEURISTICAS Y OPTIMIZACION SOBRE REDES (MOR)
63422,AT002,METODOLOGÍAS DE INVESTIGACIÓN
63689,M000,METODOS CUANTITATIVOS III - PAYSANDU
20537,1834,METODOS DE APRENDIZAJE AUTOMATICO
77264,1897,MÉTODOS EFICI. DE SIMUL. PARA LA ESTIM. DE CONFIA. DE REDES
18842,1057,METODOS MONTECARLO
18819,1033,METODOS NUMERICOS
24886,CIM20,MÉTODOS NUMÉRICOS
63618,M001,MM. CC. III - (MTDEO) - DISEÑO Y ANALISIS DE EXPERIMENTOS
63429,AT009,MODELADO 3D PARA PRODUCCION DIGITAL (PERFIL PRODUCTO)
20792,1624,MODELADO Y OPTIMIZACION
50808,1636,MODELOS COMB. DE CONFIABILIDAD EN REDES
64848,1868,MODELOS ESTADISTICOS PARA CLASIF. Y REGRESION
20785,1632,OPTIMIZACION BAJO INCERTIDUMBRE
61733,1640,OPTIMIZACION CONTINUA Y APLICACIONES
20476,1930,ORGANIZACIONES PARA INGENIEROS
20638,1731,PASANTIA (COMPUTACION)
18533,1213,PLANIFICACION DE CLASES: DISEÑO DE UNID.DIDACT.
14205,D85,PLANIFICACIÓN ESTRATÉGICA
18561,1225,POLITICAS CIENTIFICAS EN INF.Y COMP.
20487,1945,PRACTICA DE ADMINISTRACION PARA INGENIEROS
61732,1639,PRINCIPIOS DE LOGISTICA HUMANITARIA
20781,1767,PRINC.Y FUND.DEL PROC.PERS.DE SOFTWARE
18809,1025,PROBABILIDAD Y ESTADISTICA
23998,CH201,PROBABILIDAD Y ESTADÍSTICA
63423,AT003,PROBLEMAS DE DISEÑO
65119,AT021,PRODUCCIÓN AUDIOVISUAL INTERACTIVA II
65121,AT023,PRODUCCIÓN GRÁFICA 3D II
20780,1769,PROFESION EN INGENIERIA DE SOFTWARE
53258,1777,PROFESION EN INGENIERIA DE SOFTWARE
18238,1322,PROGRAMACION 1
67810,1373,PROGRAMACION 1
18237,1321,PROGRAMACION 2
18272,1323,PROGRAMACION 3
18273,1324,PROGRAMACION 4
40449,1354,PROGRAMACION FUNCIONAL
18256,1350,PROGRAMACION FUNCIONAL AVANZADA
24410,SRN17,PROGRAMACIÓN I- CIO CT-LHRH
18268,1340,PROGRAMACION LOGICA
77523,1898,PROGRAMACIÓN MASIVAMENTE PARALELA EN PROCESADORES GRÁFICOS (GPUS)
63466,559EU,PROPIEDAD INTELECTUAL
61572,I87,PROSPECTIVA ESTRATÉGICA: CON LA MIRADA EN EL FUTURO
20639,1730,PROYECTO DE GRADO
20651,1721,PROYECTO DE INGENIERIA DE SOFTWARE
19814,5842,RECONOCIMIENTO DE PATRONES
20478,1938,RECUPERACION DE INF. Y RECOMEND. EN LA WEB (WIR)
18432,1446,REDES DE COMPUTADORAS
73870,1887,REDES NEURONALES PARA LENGUAJE NATURAL
68888,1877,REFORMULACIONES Y ALGORITMOS PARA PLANIFICACION DE LA PRODUCCION
20641,1728,RELACIONES PERSONALES EN ING. DE SOFT. Y GER. DE PROY.
20662,1758,RELACIONES PERSONALES EN ING. DE SOFT. Y GER. DE PROY.
