nombrep,codigogrupop,nombreh,codigogrupoh,nombre_mat,codigo_materia,codenservicio_mat,tipo_mat,creditos_mat
MATERIAS BASICAS,2436,MATEMATICA,4083,TEORIA DE JUEGOS Y PROG. FUNCIONAL,18818,1034,G,9
MATERIAS BASICAS,2436,MATEMATICA,4083,TOPOLOGÍA,24887,CIM22,G,12
MATERIAS BASICAS,2436,MATEMATICA,4083,TOPOLOGIA Y ANALISIS REAL,71545,1886,G,10
MATERIAS BASICAS,2436,MATEMATICA,4083,TUTORIA EN MATEMATICA,18559,1233,G,4
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,BIOQUÍMICA 1 (2020-,63384,MHC16,G,13
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,18521,FIS14,G,14
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,40765,CE5,G,5
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,21415,FA4,G,4
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,21417,FA8,G,8
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,21566,FF10,G,10
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,21078,FG,G,7
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,21427,FG2,G,13
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,21080,F2,G,7
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,21403,F66,G,66
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,21394,CE2,G,2
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,20509,CE11,G,11
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,37783,CE12,G,12
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,21115,CEX28,G,28
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,21423,FL8,G,8
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,21418,FL2,G,8
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,21419,FL1,G,8
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,21759,FI10,G,10
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,21717,FIS8,G,8
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDA,44182,CE10,G,10
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,CREDITOS ASIGNADOS POR REVALIDAS,80316,FIS40,G,40
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,DISEÑO Y ANALISIS DE EXPERIMENTOS (MTDEO),63618,M001,G,4
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FISICA 1,18485,1171,G,10
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FISICA 1,18490,1151,G,10
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FÍSICA 1,25003,REF04,G,10
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FISICA 1A CIOCT 2023,73725,SRN50,G,4
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FISICA 1 BIOCIENCIAS 2017,65598,RN252,G,12
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FISICA 2,18488,1152,G,10
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FISICA 2,18862,1077,G,7
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FÍSICA 2,24407,SRN11,G,10
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FISICA 2 BIOCIENCIAS 2017,65599,RN253,G,12
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FISICA 3,18483,1173,G,10
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FISICA 3,18489,1153,G,10
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FÍSICA 3,24405,SRN26,G,10
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FISICA GENERAL 1,18453,1120,G,13
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FISICA GENERAL 1,18486,1170,G,13
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FISICA GENERAL 2,18457,1121,G,13
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FISICA GENERAL 2,18484,1172,G,13
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FÍSICA I,16174,CCT10,G,14
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FÍSICA IA- LDI.CIOCT,41510,REF05,G,4
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FÍSICA I B CIO CT-LDI,41511,REF06,G,6
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FÍSICA II,16184,CCT20,G,14
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FISICA III (P. 74),18629,CP43,G,20
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FISICA II (P. 74),18630,CP42,G,22
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,FISICA I (P. 74),18637,CP41,G,22
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,GENÉTICA GENERAL,65354,MHC24,G,14
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,GENÓMICA,65352,MHC20,G,10
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,INT. A LA FISICA MODERNA,18515,1131,G,10
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,INTRODUCCIÓN A LAS CIENCIAS BIOLÓGICAS II (TEÓRICO),65448,203EU,G,4
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,MECANICA GENERAL I,19545,CP217,G,12
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,MECANICA GENERAL II (P. 74),18638,CP40,G,20
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,MECANICA GENERAL I (P. 74),18611,CP26,G,22
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,MECANICA I,21311,CP3,G,12
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,MECANICA II,21316,CP8,G,24
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,MECANICA I (TRANSICION),18651,CP17,G,12
MATERIAS BASICAS,2436,CIENCIAS EXPERIMENTALES,4442,METODOS CUANTITATIVOS III - PAYSANDU,63689,M000,G,6
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,ADMINISTRACION GENERAL PARA INGENIEROS,20484,1944,G,5
"BASICO-TEC,TECNICAS E INTEG.",3215,GESTION EN ORGANIZACIONES,4066,CAMBIO ORGANIZACIONAL,37476,A83,G,10
