instituto,nombre,codigo,inscriptos
8,TECNOLOGÍA Y SERVICIOS INDUSTRIALES 1,Q71,64
4,TECNOLOGÍAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,5866,9
9,TEORÍA DE ERRORES 2,1522,10
7,TEORÍA DE LENGUAJES,1325,235
8,TERMODINÁMICA APLICADA A LA INGENIERÍA DE PROCESOS,Q21,86
7,TESIS DE LICENCIATURA EN COMPUTACIÓN,1860,1
9,TOPOGRAFÍA 1,1527,9
9,TOPOGRAFÍA 3,1524,11
9,TOPOLOGÍA Y ANÁLISIS REAL,1886,3
Otros,TRANSFERENCIA DE CALOR,TIM41,26
8,TRANSFERENCIA DE CALOR Y MASA 2,Q68,98
1,TRANSFERENCIA DE CALOR 2,1824,79
2,TRANSPORTE DE SUSTANCIAS EN FLUJOS A SUPERFICIE LIBRE,1879,0
3,TRANSPORTE FERROVIARIO,2505,11
3,TRANSPORTE POR CARRETERA,2504,6
8,TRATAMIENTO DE EFLUENTES Y RESIDUOS SÓLIDOS,Q104,21
4,TRATAMIENTO DE IMÁGENES POR COMPUTADORA,5828,44
Otros,TUTORÍAS ENTRE PARES 1,2216,16
Otros,TUTORÍAS ENTRE PARES 2,2217,16
