instituto,nombre,codigo,inscriptos
7,TALLER DE PROGRAMACIÓN,1327,231
12,TALLER DE REPRESENTACIÓN Y COMUNICACIÓN GRAFICA_MÓDUL,1266/9,168
12,TALLER DE REPRESENTACIÓN Y COMUNICACIÓN GRAFICA_ MOD. C,1267,12
7,TALLER DE SEGURIDAD INFORMÁTICA,1891,17
7,TALLER DE SISTEMAS CIBER-FISICOS,1952,6
Otros,TALLER DE SISTEMAS DE INFORMACION.NET,TI26,9
7,TALLER DE SISTEMAS DE INFORMACIÓN 1,1751,30
2,TALLER DE TÉCNICAS DE MEDICIÓN EN HIDROLOGÍA E HIDRÁULICA,1875A,6
4,TALLER FOURIER,1459,55
4,TALLER LABORATORIO ELECTRÓNICO DE POTENCIA RECTIFICADOR,5604,6
4,TALLER LABORATORIO DE ELECTRONICA DE POTENCIA,5610,3
Otros,TALLER 1: AJUSTE Y MONTAJE,TIM10,7
Otros,TALLER 2: METROLOGÍA,TIM11,10
7,TALLER 2:MODELADO CUANTITATIVOS PARA PROBLEMAS DE PROD,2033,26
Otros,TALLER 3: MAQUINAS HERRAMIENTAS,TIM12,11
Otros,TALLER 4: MOTORES DE COMBUSTIÓN INTERNA,TIM13,17
1,TALLER 4:MEJORA DE LA COMPETITIVIDAD,2035,44
Otros,TALLER 5: SOLDADURA,TIM14,14
4,TECNOLOGÍA DE SERVICIOS AUDIOVISUALES,5851,4
8,TECNOLOGÍA Y SERVICIOS INDUSTRIALES 2,Q100,43
4,TEMAS AVANZADOS EN SISTEMAS INALÁMBRICOS,5860,0
7,"TEORÍA, ALGORITMOS Y APLICACIÓN LOGÍSTICA",1633,28
4,TEORÍA DE CIRCUITOS,1456,105
9,TEORÍA DE ERRORES 1,1521,14
Otros,TEORÍA DE LOS CIRCUITOS,LIB55,0
2,TEORÍA DEL BUQUE,2604,1
7,TESIS DE LICENCIATURA EN COMPUTACIÓN,1860,1
1,TIEMPOS Y MÉTODOS,2038,29
9,TOPOGRAFÍA 2,1509,8
8,TRANSFERENCIA DE CALOR Y MASA 1,Q74,97
1,TRANSFERENCIA DE CALOR 1,1823,79
3,TRANSPORTE AÉREO,2508,10
4,TRANSPORTE DE ENERGÍA ELÉCTRICA,5520,11
3,TRANSPORTE FLUVIAL Y MARÍTIMO,2507,9
1,TRANSPORTE INDUSTRIAL,1729,8
3,TRANSPORTE URBANO,2511,16
2,TRATAMIENTO DE EFLUENTES,2316,12
Otros,TUTORÍAS ENTRE PARES 1,2216,11
Otros,TUTORÍAS ENTRE PARES 2,2217,11
10,VIBRACIONES Y ONDAS,1144,65
